frequency_hz,ensemble_average_psd_v2_per_hz
9.733419360672767029e-01,3.196002891380795073e-11
9.766752988620276410e-01,1.050147620572290500e-10
9.800086616567785791e-01,2.808503344377055845e-10
9.833420244515295172e-01,6.026176012821169146e-11
9.866753872462804553e-01,2.382755926814693533e-10
9.900087500410315045e-01,1.678134282681396960e-10
9.933421128357824426e-01,1.326667156098262561e-10
9.966754756305333807e-01,1.645515652969969324e-10
1.000008838425284319e+00,3.315487438983770427e-10
1.003342201220035257e+00,2.490304631663219498e-11
1.006675564014786195e+00,1.074651902182603648e-11
1.010008926809537133e+00,3.013945521978879785e-11
1.013342289604288071e+00,1.206016655932121374e-10
1.016675652399039009e+00,2.777296559739641174e-10
1.020009015193789947e+00,1.034944510050590303e-11
1.023342377988540886e+00,4.925275460538414280e-11
1.026675740783291824e+00,8.310779650382679818e-11
1.030009103578042762e+00,2.879319166789092201e-11
1.033342466372793700e+00,6.521270411312126287e-11
1.036675829167544638e+00,4.114497952723661637e-11
1.040009191962295576e+00,5.678370310676096583e-11
1.043342554757046514e+00,1.934983296989841246e-10
1.046675917551797452e+00,3.315939529071340252e-10
1.050009280346548612e+00,2.532660289743245174e-10
1.053342643141299551e+00,1.665712645495993419e-11
1.056676005936050489e+00,1.563985461194089546e-11
1.060009368730801427e+00,2.489827054443424582e-10
1.063342731525552365e+00,1.854580931697215089e-11
1.066676094320303303e+00,5.518322715447663735e-11
1.070009457115054241e+00,4.789602538674591420e-11
1.073342819909805179e+00,1.183706872997283681e-10
1.076676182704556117e+00,2.301964106445227183e-10
1.080009545499307055e+00,2.262738959353414478e-10
1.083342908294057994e+00,1.846426026577324100e-11
1.086676271088808932e+00,1.837191922547499463e-11
1.090009633883559870e+00,5.301440504285573925e-11
1.093342996678310808e+00,4.062258658197849199e-11
1.096676359473061746e+00,3.899267459380201839e-11
1.100009722267812684e+00,3.209032297853492790e-12
1.103343085062563622e+00,1.433701164642553328e-10
1.106676447857314560e+00,7.224611198831911171e-11
1.110009810652065498e+00,1.029156175094239510e-10
1.113343173446816436e+00,2.867755784465529211e-10
1.116676536241567375e+00,3.461723756835524344e-11
1.120009899036318313e+00,8.615161232243364672e-12
1.123343261831069251e+00,1.740075101198272245e-11
1.126676624625820411e+00,7.078116274662995719e-11
1.130009987420571349e+00,2.810202814811764521e-11
1.133343350215322287e+00,5.463059543176202063e-11
1.136676713010073225e+00,5.857352352368822264e-11
1.140010075804824163e+00,6.201394353327911042e-11
1.143343438599575101e+00,1.694653030199452053e-11
1.146676801394326040e+00,4.144615702516986634e-11
1.150010164189076978e+00,6.488682674361304792e-11
1.153343526983827916e+00,6.537061870772869869e-11
1.156676889778578854e+00,2.210693139825315969e-10
1.160010252573329792e+00,2.613708734602910927e-10
1.163343615368080730e+00,1.337700792548550908e-10
1.166676978162831668e+00,1.166886565764922441e-10
1.170010340957582606e+00,9.245192256514341639e-11
1.173343703752333544e+00,4.530896368145956986e-11
1.176677066547084483e+00,2.850702848573158467e-13
1.180010429341835421e+00,2.867647306376141618e-10
1.183343792136586359e+00,8.473364522811794847e-11
1.186677154931337297e+00,3.534827698813326693e-11
1.190010517726088235e+00,1.412711893668965570e-10
1.193343880520839173e+00,5.355931417609014276e-11
1.196677243315590111e+00,5.135604363071757319e-11
1.200010606110341049e+00,8.251382538838253201e-11
1.203343968905092209e+00,1.814412460914342486e-10
1.206677331699843148e+00,5.808361003379899840e-11
1.210010694494594086e+00,2.309657693521390960e-10
1.213344057289345024e+00,5.131781392190830347e-11
1.216677420084095962e+00,5.108621880988791642e-12
1.220010782878846900e+00,4.192468116391186453e-10
1.223344145673597838e+00,9.616042500472904365e-11
1.226677508468348776e+00,5.387080622180858835e-11
1.230010871263099714e+00,2.044745606593094722e-11
1.233344234057850652e+00,1.315473110671091431e-10
1.236677596852601591e+00,1.135780066785807654e-10
1.240010959647352529e+00,5.739601332419847028e-11
1.243344322442103467e+00,1.234196438931123675e-10
1.246677685236854405e+00,9.237185273600139471e-10
1.250011048031605343e+00,2.268724688217435711e-10
1.253344410826356281e+00,4.192410318340094007e-11
1.256677773621107219e+00,3.180123626700276979e-10
1.260011136415858157e+00,4.114134323933411136e-11
1.263344499210609095e+00,2.769446961500078329e-11
1.266677862005360033e+00,4.631797384869030792e-11
1.270011224800110972e+00,9.130100498529236932e-11
1.273344587594861910e+00,2.421852044363671541e-10
1.276677950389612848e+00,2.440814469542077600e-10
1.280011313184363786e+00,1.023503173776682525e-10
1.283344675979114946e+00,1.371598580469231677e-10
1.286678038773865884e+00,2.085620880444873938e-10
1.290011401568616822e+00,1.038967450991223706e-10
1.293344764363367760e+00,9.715134494857512761e-11
1.296678127158118699e+00,9.795858708466533530e-13
1.300011489952869637e+00,1.743255190718628137e-11
1.303344852747620575e+00,9.626673994081949174e-11
1.306678215542371513e+00,2.713750439107983996e-10
1.310011578337122451e+00,2.231885005409547888e-10
1.313344941131873389e+00,2.343126927719344275e-10
1.316678303926624327e+00,8.415501427781167266e-11
1.320011666721375265e+00,2.126866692051269374e-11
1.323345029516126203e+00,7.563550090964502357e-11
1.326678392310877141e+00,7.959864702933518756e-11
1.330011755105628080e+00,1.329732276703013010e-10
1.333345117900379018e+00,3.493838802358408800e-10
1.336678480695129956e+00,5.706358754028462093e-11
1.340011843489880894e+00,1.135518864422689631e-11
1.343345206284631832e+00,3.423969809777305502e-11
1.346678569079382770e+00,2.042558789065739113e-10
1.350011931874133708e+00,1.587112051572231800e-10
1.353345294668884646e+00,5.640234922838301708e-12
